,0
aback,3.4420609383148446
abase,4.523582406127375
abate,4.572007720062092
abbey,3.922186032127243
abbot,3.979674569999209
abhor,4.598528516418666
abide,4.893572999209421
abled,4.877487260206583
abode,4.867953429361446
abort,5.092671748172643
about,4.6852914359853
above,4.496907554832197
abuse,4.972120749558891
abyss,3.6186232892056647
acorn,5.155276155390062
acrid,4.915216004139992
actor,5.216654459962807
acute,5.236593164102714
adage,4.287107107483533
adapt,4.0601266854498625
adept,4.917918330624442
admin,4.45067661613857
admit,4.617513993626192
adobe,4.8395074217359735
adopt,4.735950884427015
adore,5.434850993952366
adorn,5.04996206326798
adult,4.8791858920720115
affix,2.842380573359775
afire,5.248637269328012
afoot,4.112979600949579
afoul,4.520531090471032
after,5.142562091002883
again,4.116188836889665
agape,4.234730823030537
agate,4.592588248333082
agent,5.087045141930307
agile,5.268849825748903
aging,3.823028462508714
aglow,4.233731480654305
agony,4.581238785989301
agree,4.827487119554995
ahead,4.281309105822811
aider,5.401911579147156
aisle,5.635641642534595
alarm,4.396843696525029
album,4.28068844517256
alert,5.744211188991762
algae,4.616810982979707
alibi,3.956319442924704
alien,5.607061114370462
align,4.911672220020046
alike,5.177813553306449
alive,5.066754165526358
allay,3.55772593046573
alley,4.564221828925837
allot,4.626455278976047
allow,3.9358383962678563
alloy,4.242578044469903
aloft,4.92664135191875
alone,5.6112819733074915
along,4.862433656734605
aloof,4.069280473573752
aloud,4.8494430069863625
alpha,3.8656134556328205
altar,4.7864627425402935
alter,5.713372336368849
amass,3.356948760566039
amaze,3.7256593688655526
amber,4.861623520835698
amble,4.851186756026177
amend,4.796868183109069
amiss,4.038887528499316
amity,4.676669601513247
among,4.422539003843051
ample,4.951236595036845
amply,4.299303957985582
amuse,5.048229432325641
angel,5.137114686868098
anger,5.189321273813294
angle,5.1808253489591385
angry,4.659229458312048
angst,4.866340665088707
anime,5.178221717243859
ankle,4.998007350001383
annex,3.8350392996309655
annoy,4.1034563631593235
annul,4.179468041923836
anode,5.25377277885085
antic,4.884227308703007
anvil,4.558961525218775
aorta,4.724665076584596
apart,4.569059902668796
aphid,4.304668862672562
aping,4.475277244798403
apnea,4.431836283620274
apple,4.47700029668032
apply,3.8171813099081247
apron,5.02740594587053
aptly,4.724542874468952
arbor,4.363875234933407
ardor,4.501536368998414
arena,4.865001952528566
argue,5.216576079549334
arise,5.821023459282914
armor,4.413818416567453
aroma,4.316960911142559
arose,5.767804897087286
array,3.8219486374748164
arrow,4.1902792191035285
arson,5.341245373690037
artsy,5.218202991144533
ascot,4.985135935374801
ashen,5.013025573650729
aside,5.191856633166493
askew,4.289132078931296
assay,3.3162588146620413
asset,4.714592640294972
atoll,4.591008361170082
atone,5.557454213254542
attic,4.164905989820191
audio,4.590283746704058
audit,4.88405770994202
augur,4.035311582798888
aunty,4.7741813906992405
avail,4.006414226755708
avert,5.085679178557738
avian,3.918191484542036
avoid,4.331645527366476
await,4.193040268562322
awake,3.9122736050977576
award,3.9873808586055364
aware,4.598195464399965
awash,3.8434093256955086
awful,3.9747045978297004
awoke,4.533700650420359
axial,3.7607815082157083
axiom,3.9742839703481185
axion,4.301697778766848
azure,4.70118259691444
bacon,4.688028678138712
badge,4.691179605918791
badly,4.4545859035054285
bagel,4.942018681901578
baggy,3.429067075627454
baker,4.799370191029399
baler,5.332516581398932
balmy,4.325144215944005
banal,4.212423270724753
banjo,3.908646931967981
barge,5.114311352137086
baron,5.0485182237337956
basal,4.202243502368365
basic,4.602744249445584
basil,4.927520502957074
basin,4.829880584246975
basis,4.008461209054473
baste,5.304690860304449
batch,4.528256255092821
bathe,5.048499839555115
baton,4.92368824994815
batty,3.9431519830637147
bawdy,3.844010082913479
bayou,4.304049732645966
beach,4.792088897949573
beady,4.651101171050129
beard,5.143825772805663
beast,5.3725710221939735
beech,3.949148125756136
beefy,3.574517148817226
befit,4.5684893877708665
began,4.7290081915819595
begat,4.894557324271327
beget,4.240404860348302
begin,4.540638530135059
begun,4.324336488826398
being,4.549306482353606
belch,4.527569098495815
belie,4.5412682351157745
belle,3.7896874845416497
belly,3.9332563854271925
below,4.411666232667064
bench,4.458738345394388
beret,4.763450160635368
berry,4.091942104719318
berth,4.903520269797741
beset,4.546459138923565
betel,4.550913204969558
bevel,3.900257631034885
bezel,3.6682002413454793
bible,4.249922014675921
bicep,4.539171085332865
biddy,3.3196879401820314
bigot,4.482896071777129
bilge,4.763597078125491
billy,3.741284204039002
binge,4.6530353735072065
bingo,4.209541190800365
biome,4.764163976680646
birch,4.462209141802642
birth,4.6835380575789545
bison,4.634068959078301
bitty,3.7368336827941135
black,4.311961303427136
blade,5.113406049110358
blame,5.019035429556829
bland,4.714776442163912
blank,4.438306777262189
blare,5.486044168394809
blast,5.120061798093614
blaze,4.525793386573894
bleak,4.595724614711986
bleat,5.232640182554793
bleed,4.2421675334135145
bleep,4.180877062158622
blend,4.66731878146227
bless,4.120403923345957
blimp,4.0925704739409285
blind,4.48848224630342
blink,4.2233876441108285
bliss,3.961212124096059
blitz,3.9839633325460797
bloat,5.0955904116413215
block,4.121957641783849
bloke,4.638311643100216
blond,4.526500884392831
blood,3.8596612062865283
bloom,3.6972124736813177
blown,4.167831247494757
bluer,5.00452437665753
bluff,3.1125257664308617
blunt,4.621203543611708
blurb,3.751359874136044
blurt,4.803528884538817
blush,4.359296212017782
board,4.933732061100754
boast,5.1405264612507295
bobby,2.6066539764705112
boney,4.753907075211287
bongo,3.5317332421940084
bonus,4.419936718295814
booby,2.8759755179864235
boost,4.212562245012419
booth,3.8932665129448316
booty,3.864974004260207
booze,3.5568911456452796
boozy,2.9511573755776475
borax,4.2388211228512915
borne,5.249577627174494
bosom,3.6017720813766214
bossy,3.726896512757944
botch,4.350905400896424
bough,4.033742348636836
boule,5.027443155497565
bound,4.334830361785101
bowel,4.582128040639799
boxer,4.329647895714228
brace,5.3882031504106624
braid,4.906591691243179
brain,5.094137962016192
brake,4.992552916126144
brand,4.86528758942181
brash,4.876680994343067
brass,4.2660127970618245
brave,4.893482599781883
bravo,4.470009950876117
brawl,4.589917308802056
brawn,4.528770052854683
bread,5.049981321930942
break,4.774794715178682
breed,4.3644771149407475
briar,4.451276627021283
bribe,4.395449352254438
brick,4.268875881136892
bride,5.036392904625323
brief,4.762606400877281
brine,5.254980120240419
bring,4.449787822703048
brink,4.373102952862954
briny,4.63976703779487
brisk,4.429290037324083
broad,4.896030433516786
broil,4.986344480776549
broke,4.7771304973410045
brood,4.008336218628031
brook,3.7303859974032396
broom,3.847564731957098
broth,4.769856495427704
brown,4.326220902678445
brunt,4.7894697089011915
brush,4.489113046545974
brute,5.149158727064331
buddy,3.1172149066758417
budge,4.2720643363539255
buggy,3.006078084670187
bugle,4.592816146893275
build,4.427341860034277
built,4.775009399825679
bulge,4.565754994102852
bulky,3.7442739589970775
bully,3.533570815377327
bunch,4.049414758270716
bunny,3.4269822541106176
burly,4.419904492673512
burnt,4.762661670842359
burst,4.822773804560303
bused,4.5531128739272555
bushy,3.8835656998095356
butch,4.114678974384784
butte,4.181477756405298
buxom,3.302559025392814
buyer,4.6520718848237905
bylaw,4.001328603058931
cabal,4.126106230394801
cabby,3.599314895565769
cabin,4.75596072379025
cable,5.25187228647745
cacao,3.5795147836864802
cache,4.404527615636124
cacti,4.246664835344572
caddy,3.793079246298313
cadet,5.366649099189518
cagey,4.859438058566975
cairn,5.366075447753732
camel,5.213508957601337
cameo,5.0681254838179015
canal,4.4812025707192875
candy,4.603579537563575
canny,4.114292913105694
canoe,5.514715531974429
canon,4.366997057688791
caper,5.3309584220314585
caput,4.8028613800108
carat,4.794122286656689
cargo,4.945546896528852
carol,5.390655203708901
carry,4.366095313243673
carve,5.130888006315975
caste,5.571255323961436
catch,4.109313630225875
cater,5.648077618641163
catty,4.197637031475968
caulk,4.574863908658555
cause,5.410047227701637
cavil,4.636185406203157
cease,5.007670050970868
cedar,5.334608744840712
cello,4.4511204104624
chafe,4.802949407656404
chaff,3.4802083841875806
chain,4.8989792221057655
chair,5.136667158556859
chalk,4.454940128413635
champ,4.242220893233044
chant,5.016102595776252
chaos,4.819140854794612
chard,4.845118299591198
charm,4.716685410136406
chart,5.200346710487444
chase,5.283209966891613
chasm,4.549175612793446
cheap,4.7655899275181515
cheat,5.180961406014951
check,3.465969467340129
cheek,3.873850704976435
cheer,4.526268770057405
chess,4.015060762497194
chest,4.9608105399306455
chick,3.3261044671322146
chide,4.837758900981583
chief,4.570626214898672
child,4.551481839951375
chili,3.8580341034241945
chill,4.074948325602715
chime,4.759570487699657
china,4.7592366353224005
chirp,4.58247120944565
chock,3.348788817852781
choir,4.973242695554532
choke,4.559815845994178
chord,4.676084358936259
chore,5.2609152666414065
chose,5.084856878866384
chuck,3.1252024164603616
chump,3.827460832474907
chunk,3.9439894432650116
churn,4.625615358675434
chute,4.925787498429498
cider,5.155727214134359
cigar,4.98037868621899
cinch,3.8035716851052426
circa,4.371038892603511
civic,2.653164942634461
civil,3.6384258459113927
clack,3.891722224964419
claim,4.8980128946098755
clamp,4.5664719568920695
clang,4.788350749881498
clank,4.683015378830768
clash,4.9771906114980755
clasp,4.951830104030175
class,4.402884577702603
clean,5.339066363864463
clear,5.547450519432374
cleat,5.489422897356733
cleft,4.798722682635259
clerk,4.794902979412634
click,3.6890858341888912
cliff,3.6005012503222282
climb,4.2364561864610595
cling,4.557274765146409
clink,4.461080103251511
cloak,4.712424443668068
clock,3.6945274570908744
clone,5.382912073668943
close,5.427638071462523
cloth,4.832679916119366
cloud,4.657329691136259
clout,4.9977305152354745
clove,4.803800494720438
clown,4.444546551006774
cluck,3.473653708766311
clued,4.9539254565604285
clump,4.147810929015318
clung,4.345221216421614
coach,4.16452641956245
coast,5.385023153746122
cobra,4.84159313470496
cocoa,3.4981469264616583
colon,4.262784225534199
color,4.476094977800464
comet,5.0991838421501345
comfy,3.89516687214841
comic,3.7654482627850836
comma,3.8133767295574805
conch,3.882953971488007
condo,3.9050390744397836
conic,4.091227719442514
copse,5.097197996592668
coral,5.349398416363138
corer,4.780056857789969
corny,4.907106926167199
couch,3.7798094243988527
cough,4.263557599154676
could,4.7050608883858205
count,4.961057501048146
coupe,4.924990763171158
court,5.17190770164104
coven,4.670048003127342
cover,4.820650404527469
covet,4.82947796366473
covey,4.421333474902473
cower,4.9000059708244095
coyly,3.8832148746942794
crack,4.039597753788232
craft,5.030105680218202
cramp,4.72039023967663
crane,5.7410113201652955
crank,4.832247244445103
crash,5.099438732766668
crass,4.529016639820902
crate,5.835215982633283
crave,5.163205052927666
crawl,4.8573265164439885
craze,4.9382932563998745
crazy,4.306782498357249
creak,5.019342810585988
cream,5.191287487368034
credo,5.055225939710953
creed,4.618090025133783
creek,4.332558987368939
creep,4.561619402773117
creme,4.563957024391644
crepe,4.624167555829891
crept,5.164582326460584
cress,4.493283503036189
crest,5.460207662676906
crick,3.833923220975753
cried,5.291803470194716
crier,4.796513480909408
crime,5.227405874064114
crimp,4.51815835516443
crisp,4.8785658818373046
croak,4.880668895331339
crock,3.8459572019924444
crone,5.511593461135509
crony,4.940477174079177
crook,3.9746839591933254
cross,4.326638235172732
croup,4.738059055187318
crowd,4.4316875585426425
crown,4.597367056367455
crude,5.085411374805901
cruel,5.318053994587365
crumb,4.169409253480545
crump,4.305218858598347
crush,4.711162665961137
crust,5.109628961318276
crypt,4.623529819948404
cubic,3.4867612333852613
cumin,4.38405272024087
curio,4.907033832607152
curly,4.6723388100622945
curry,3.949235514657329
curse,5.335018155882448
curve,4.702417303755403
curvy,4.068546402105452
cutie,5.210754875523308
cyber,4.633689080754067
cycle,4.14977267523275
cynic,3.6769635045171083
daddy,3.0262732581372034
daily,4.924069927825321
dairy,5.024379912798318
daisy,4.901801041014371
dally,4.082264240142708
dance,5.292143185423264
dandy,3.8924096204430434
datum,4.51420621474479
daunt,4.991136390346432
dealt,5.556164141615791
death,5.158971406367807
debar,5.068742317750483
debit,4.810076049156925
debug,4.108254118551898
debut,4.602002984381935
decal,5.110898160075871
decay,4.780392822695838
decor,5.056892500142631
decoy,4.578419772173036
decry,4.727802732469133
defer,4.2076713616307835
deign,4.760342358715845
deity,4.916759641359107
delay,5.01176124113338
delta,5.235866161792471
delve,4.022485126334122
demon,4.6805771161789345
demur,4.725244470363384
denim,4.680434161213729
dense,4.611367821568094
depot,4.903866218122516
depth,4.564202833430174
derby,4.5252687113026155
deter,4.748758641824867
detox,4.263520364409238
deuce,4.366785282923406
devil,4.549763600053392
diary,5.00558878369507
dicey,4.694392725512928
digit,3.8073378895620604
dilly,3.881781738341515
dimly,4.293466359276806
diner,5.2341637479432945
dingo,4.359358401469193
dingy,4.15949338218077
diode,4.402306246905645
dirge,5.029339127470461
dirty,4.785971468301075
disco,4.59588810665893
ditch,4.442592638972233
ditto,4.07633890777286
ditty,3.8667584101057937
diver,4.676724356369425
dizzy,2.7604547647400297
dodge,4.053957832999123
dodgy,3.4375867487501237
dogma,4.234018623750744
doing,4.501819437738686
dolly,3.928352929923166
donor,4.336649186574166
donut,4.794239916687732
dopey,4.638757769708183
doubt,4.441031799341067
dough,4.17585387935277
dowdy,3.210509189154465
dowel,4.72627621984795
downy,4.085175584287831
dowry,4.261298318580751
dozen,4.3242026218447975
draft,4.90257022793335
drain,5.246618001063989
drake,5.135206592809231
drama,4.137234949327002
drank,4.740413620105544
drape,5.357989312855897
drawl,4.74153732290703
drawn,4.690615535939335
dread,4.582476717347928
dream,5.067972225121528
dress,4.384172120109957
dried,4.565189559287926
drier,4.6801638056590384
drift,4.696789412404821
drill,4.389159287592853
drink,4.517453160026917
drive,4.831046980835913
droit,5.246960013024891
droll,4.40717396904498
drone,5.398303867644633
drool,4.398969457389503
droop,4.076371687035917
dross,4.2137851694315565
drove,4.814198999558676
drown,4.486545986233635
druid,4.054702434655317
drunk,4.31642465628686
dryer,4.270842106009761
dryly,3.814748811319285
duchy,3.8510637797700866
dully,3.6864319945158543
dummy,3.1531278136793874
dumpy,3.7177286635860916
dunce,4.86062323600721
dusky,3.8080340416687033
dusty,4.3584097633105205
dutch,4.255485186629898
duvet,4.51275475860444
dwarf,4.178001273343424
dwell,3.841994989205804
dwelt,4.662506449492848
dying,4.110679874773145
eager,4.670977476056879
eagle,4.708231216825717
early,5.317580997012498
earth,5.415427531501216
easel,4.915684484523091
eaten,4.917711951519901
eater,5.05310591775745
ebony,4.4927228228058445
eclat,5.259340353919472
edict,4.87186586989199
edify,4.124447588259444
eerie,4.22089249304067
egret,4.514784004297073
eight,4.614092406823702
eject,3.6023324452889702
eking,4.1886123227988525
elate,5.100843195359934
elbow,4.27743689486602
elder,4.556816187018129
elect,4.563027874979566
elegy,3.995416961806969
elfin,4.686028921400575
elide,4.581069938233071
elite,4.908479928495554
elope,4.533646129096468
elude,4.367597264033198
email,5.104033677183736
embed,3.6308211786390983
ember,3.9746324843271834
emcee,3.501530859048968
empty,4.211131360476782
enact,5.32389340672171
endow,4.258099286092382
enema,4.15808992724229
enemy,3.8189399306092637
enjoy,3.9045343286528498
ennui,3.9460837813035536
ensue,4.397980866745229
enter,4.691814638893202
entry,4.94771544290461
envoy,4.1843001161556135
epoch,4.540426905233433
epoxy,3.7937228071501097
equal,4.285579529849854
equip,3.800201449124108
erase,5.176809206449885
erect,4.729707935373665
erode,4.692799007726093
error,3.9147960021598402
erupt,5.052472208657306
essay,4.116856535622656
ester,4.641452209578479
ether,4.413860246545851
ethic,4.536012856376074
ethos,4.66832614880733
etude,4.287168077249262
evade,4.076121559587237
event,3.959212929479884
every,3.7671592868235293
evict,4.56279785180142
evoke,3.586876915039859
exact,4.545151057294817
exalt,4.75533598149768
excel,3.645769972964249
exert,3.9322385178014025
exile,3.9736986514262447
exist,4.520500248847639
expel,3.53761755679861
extol,4.375274726703295
extra,4.5550062103943985
exult,4.3217686249371825
eying,4.444373664183514
fable,4.86592589533531
facet,5.075191785280717
faint,4.9659135632493925
fairy,4.786967329950507
faith,4.719302003436235
false,5.268453128915505
fancy,4.383591637425774
fanny,3.7508431704023883
farce,5.2582622716551395
fatal,4.174385519103736
fatty,3.8388008248198124
fault,4.833719718971179
fauna,3.8421895631621727
favor,4.4288231742596045
